year,name,driverRef,statusId,position,Did not finish,Podium,Pos 4 to 10,Accident / Collision,Finished,SC,Dry,Wet,pitStop timing prop(driver),pitStop timing prop(race),Medium,Soft,Super Soft,Ultra soft,Hard,clusters
2016,Brazilian Grand Prix,vettel,1.0,5.0,0.0,0.67,0.33,0.0,1.0,0.0,1.0,0.0,0.06553273945224042,0.07589571179352851,5.0,7.0,0.0,0.0,1.0,3.0
2016,British Grand Prix,vettel,1.0,6.0,0.33,0.33,0.33,0.0,0.67,1.0,0.67,0.0,0.06553273945224042,0.005016346097587743,3.0,8.0,0.0,0.0,2.0,2.0
2016,Canadian Grand Prix,vettel,1.0,3.0,0.0,0.67,0.33,0.0,1.0,0.33,1.0,0.0,0.06553273945224042,0.07120670309442031,0.0,3.0,3.0,7.0,0.0,4.0
2016,Chinese Grand Prix,vettel,1.0,4.0,0.0,0.33,0.33,0.0,1.0,0.33,1.0,0.0,0.06553273945224042,0.07169589161271918,3.0,4.0,6.0,0.0,0.0,13.0
2016,Hungarian Grand Prix,vettel,1.0,5.0,0.0,0.67,0.33,0.0,1.0,0.67,0.67,0.0,0.06553273945224042,0.051186325432575244,1.0,3.0,9.0,0.0,0.0,10.0
2016,Italian Grand Prix,vettel,1.0,3.0,0.0,0.67,0.33,0.0,1.0,0.0,1.0,0.0,0.06553273945224042,0.07186830200345722,1.0,2.0,7.0,0.0,0.0,13.0
2016,Japanese Grand Prix,vettel,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.33,0.67,0.33,0.06553273945224042,0.0698026662678378,1.0,9.0,0.0,3.0,0.0,11.0
2016,Malaysian Grand Prix,vettel,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.33,0.67,0.0,0.06553273945224042,0.07053454491446472,4.0,7.0,0.0,0.0,2.0,21.0
2016,Mexican Grand Prix,vettel,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.06553273945224042,0.06798854890344568,3.0,4.0,6.0,0.0,0.0,1.0
2016,Monaco Grand Prix,vettel,1.0,4.0,0.33,0.67,0.0,0.0,0.67,1.0,1.0,0.0,0.06553273945224042,0.07892674185559972,0.0,2.0,2.0,9.0,0.0,3.0
2016,Russian Grand Prix,vettel,0.0,2.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.0,0.06553273945224042,0.005083509984742719,1.0,6.0,6.0,0.0,0.0,20.0
2016,Singapore Grand Prix,vettel,1.0,22.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.06553273945224042,0.01936050978082762,0.0,2.0,2.0,9.0,0.0,12.0
2016,Spanish Grand Prix,vettel,1.0,6.0,0.0,0.33,0.0,0.0,1.0,0.0,1.0,0.0,0.06553273945224042,0.07485571015943807,4.0,8.0,0.0,0.0,1.0,4.0
2016,United States Grand Prix,vettel,1.0,6.0,0.0,0.67,0.33,0.0,1.0,1.0,0.67,0.0,0.06553273945224042,0.0704381266537809,1.0,5.0,7.0,0.0,0.0,8.0
2017,Abu Dhabi Grand Prix,vettel,1.0,3.0,0.0,0.33,0.33,0.0,1.0,0.0,1.0,0.0,0.051642082356504276,0.06339708428211945,0.0,1.0,2.0,10.0,0.0,5.0
2017,Australian Grand Prix,vettel,1.0,2.0,0.33,0.67,0.0,0.0,0.67,1.0,1.0,0.0,0.051642082356504276,0.030761234936267746,0.0,2.0,5.0,6.0,0.0,15.0
2017,Austrian Grand Prix,vettel,1.0,2.0,0.67,0.0,0.0,0.0,0.33,0.67,1.0,0.0,0.051642082356504276,0.0641229103336362,0.0,1.0,5.0,7.0,0.0,17.0
2017,Azerbaijan Grand Prix,vettel,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.051642082356504276,0.06661850759215844,1.0,4.0,8.0,0.0,0.0,14.0
2017,Bahrain Grand Prix,vettel,1.0,3.0,0.33,0.0,0.67,0.0,0.67,0.33,1.0,0.0,0.051642082356504276,0.060250890830706644,3.0,4.0,6.0,0.0,0.0,20.0
2017,Belgian Grand Prix,vettel,1.0,2.0,0.0,0.0,0.67,0.0,0.67,0.67,1.0,0.0,0.051642082356504276,0.05151241180495575,0.0,3.0,3.0,7.0,0.0,9.0
2017,Brazilian Grand Prix,vettel,1.0,2.0,0.0,0.33,0.67,0.0,1.0,0.33,0.67,0.33,0.051642082356504276,0.03230097925944206,1.0,3.0,9.0,0.0,0.0,3.0
2017,British Grand Prix,vettel,1.0,3.0,0.0,0.33,0.67,0.0,1.0,1.0,0.33,0.0,0.051642082356504276,0.030334234446451072,1.0,3.0,9.0,0.0,0.0,2.0
2017,Canadian Grand Prix,vettel,1.0,2.0,0.0,0.67,0.33,0.0,1.0,0.67,1.0,0.0,0.051642082356504276,0.06370503314675431,0.0,1.0,3.0,9.0,0.0,4.0
2017,Chinese Grand Prix,vettel,1.0,2.0,0.0,0.67,0.33,0.0,1.0,0.67,1.0,0.0,0.051642082356504276,0.0764734695098468,3.0,4.0,6.0,0.0,0.0,13.0
2017,Hungarian Grand Prix,vettel,1.0,1.0,0.0,0.33,0.33,0.0,1.0,0.67,0.67,0.0,0.051642082356504276,0.07106364999420446,1.0,3.0,9.0,0.0,0.0,10.0
2017,Italian Grand Prix,vettel,1.0,8.0,0.0,0.67,0.33,0.0,1.0,0.0,1.0,0.0,0.051642082356504276,0.06957415861834307,1.0,2.0,10.0,0.0,0.0,13.0
2017,Japanese Grand Prix,vettel,0.0,3.0,0.0,0.67,0.0,0.0,1.0,0.33,0.67,0.33,0.051642082356504276,0.07779963880694118,1.0,5.0,7.0,0.0,0.0,11.0
2017,Malaysian Grand Prix,vettel,1.0,20.0,0.33,0.67,0.0,0.33,0.67,0.67,1.0,0.0,0.051642082356504276,0.06621050151992731,1.0,3.0,9.0,0.0,0.0,21.0
2017,Mexican Grand Prix,vettel,1.0,1.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.051642082356504276,0.06451192198828179,0.0,1.0,5.0,7.0,0.0,1.0
